Name,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date 
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 12661 b,124,2.43 Jupiters,7.425,2000
HD 12661 c,124,1.812 Jupiters,7.425,2002
HD 125390 b,503,22.16 Jupiters,8.206,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,597,1.96 Jupiters,6.98,2015
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 12661 b,124,2.43 Jupiters,7.425,2000
HD 12661 c,124,1.812 Jupiters,7.425,2002
HD 125390 b,503,22.16 Jupiters,8.206,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,597,1.96 Jupiters,6.98,2015
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 12661 b,124,2.43 Jupiters,7.425,2000
HD 12661 c,124,1.812 Jupiters,7.425,2002
HD 125390 b,503,22.16 Jupiters,8.206,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,597,1.96 Jupiters,6.98,2015
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 12661 b,124,2.43 Jupiters,7.425,2000
HD 12661 c,124,1.812 Jupiters,7.425,2002
HD 125390 b,503,22.16 Jupiters,8.206,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,597,1.96 Jupiters,6.98,2015
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 12661 b,124,2.43 Jupiters,7.425,2000
HD 12661 c,124,1.812 Jupiters,7.425,2002
HD 128311 b,54,1.769 Jupiters,7.51,2002
HD 128311 c,54,3.789 Jupiters,7.51,2005
HD 128356 b,85,0.89 Jupiters,8.29,2016
HD 129445 b,220,1.6 Jupiters,8.8,2009
HD 130322 b,104,1.15 Jupiters,8.031,1999
HD 131496 b,432,1.8 Jupiters,7.8,2011
HD 131664 b,173,19.12 Jupiters,8.128,2008
HD 13167 b,488,3.31 Jupiters,8.34,2018
HD 13189 b,1646,10.95 Jupiters,7.556,2005
HD 132406 b,231,5.38 Jupiters,8.467,2007
HD 132563 b,344,1.49 Jupiters,8.928,2011
HD 133131 A b,153,1.42 Jupiters,8.4,2016
HD 133131 A c,153,0.42 Jupiters,8.4,2016
HD 133131 B b,153,2.5 Jupiters,8.42,2016
HD 134060 b,79,10.1 Earths,6.29,2019
HD 134060 c,79,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.45,1999
HD 134987 c,85,0.82 Jupiters,6.45,2009
HD 136352 b,48,4.62 Earths,5.65,2019
HD 136352 c,48,11.29 Earths,5.65,2019
HD 132563 b,344,1.49 Jupiters,8.928,2011
HD 133131 A b,153,1.42 Jupiters,8.4,2016
HD 133131 A c,153,0.42 Jupiters,8.4,2016
HD 133131 B b,153,2.5 Jupiters,8.42,2016
HD 134060 b,79,10.1 Earths,6.29,2019
HD 134060 c,79,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.45,1999
HD 134987 c,85,0.82 Jupiters,6.45,2009
HD 136352 b,48,4.62 Earths,5.65,2019
HD 136352 c,48,11.29 Earths,5.65,2019
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 142 b,85,1.25 Jupiters,5.7,2001
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 159243 c,240,1.9 Jupiters,8.646,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 159243 c,240,1.9 Jupiters,8.646,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 159243 c,240,1.9 Jupiters,8.646,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 159243 c,240,1.9 Jupiters,8.646,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 159868 c,182,0.768 Jupiters,7.24,2012
HD 1605 b,290,0.934 Jupiters,7.52,2015
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,1.676 Jupiters,5.15,2000
HD 160691 c,51,1.814 Jupiters,5.15,2004
HD 160691 d,51,10.5547 Earths,5.15,2004
HD 160691 e,51,0.5219 Jupiters,5.15,2006
HD 16141 b,123,0.26 Jupiters,6.83,2000
HD 16175 b,196,5.1 Jupiters,7.282,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,222,0.7836 Jupiters,8,2010
HD 163607 c,222,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,174,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.1,2015
HD 164604 b,129,1.99792 Jupiters,9.7,2009
HD 164922 b,72,0.36497 Jupiters,6.99,2005
HD 164922 c,72,13 Earths,6.99,2016
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 17092 b,750,10.13 Jupiters,7.732,2007
HD 171028 b,365,2.62 Jupiters,8.31,2007
HD 171238 b,146,2.72 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.172,2007
HD 173416 b,433,2.7 Jupiters,6.057,2008
HD 175167 b,232,8.97 Jupiters,8.01,2009
HD 175541 b,424,0.598 Jupiters,8.02,2007
HD 175607 b,132,8.98 Earths,8.61,2015
HD 17674 b,145,0.87 Jupiters,7.56,2017
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.16,2017
HD 177830 b,205,1.69 Jupiters,7.177,1999
HD 177830 c,205,0.15 Jupiters,7.177,2010
HD 178911 B b,134,8.03 Jupiters,7.792,2001
HD 179079 b,228,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,449,2.194 Jupiters,7.93,2018
HD 18015 b,405,3.18 Jupiters,7.89,2018
HD 180314 b,401,20.13 Jupiters,6.608,2010
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,342,1.685 Jupiters,7.78,2009
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,394,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 181720 b,197,0.4 Jupiters,7.849,2009
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 190360 c,52,19.069 Earths,5.73,2005
HD 190647 b,178,1.985 Jupiters,7.779,2007
HD 190984 b,485,3.1 Jupiters,8.76,2009
HD 191806 b,215,8.52 Jupiters,8.084,2016
HD 191939 b,174,11.6 Earths,8.963,2020
HD 191939 c,174,10.5 Earths,8.963,2020
HD 191939 d,174,10.1 Earths,8.963,2020
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 21411 b,95,0.20734 Jupiters,7.885,2019
HD 214823 b,332,20.3 Jupiters,8.06,2016
HD 215152 b,70,1.819 Earths,8.11,2018
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 215497 c,132,0.33 Jupiters,8.96,2009
HD 216435 b,108,1.26 Jupiters,6.03,2002
HD 216437 b,87,2.223 Jupiters,6.057,2002
HD 21411 b,95,0.20734 Jupiters,7.885,2019
HD 214823 b,332,20.3 Jupiters,8.06,2016
HD 215152 b,70,1.819 Earths,8.11,2018
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 215497 c,132,0.33 Jupiters,8.96,2009
HD 216435 b,108,1.26 Jupiters,6.03,2002
HD 216437 b,87,2.223 Jupiters,6.057,2002
HD 21411 b,95,0.20734 Jupiters,7.885,2019
HD 214823 b,332,20.3 Jupiters,8.06,2016
HD 215152 b,70,1.819 Earths,8.11,2018
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 215497 c,132,0.33 Jupiters,8.96,2009
HD 216435 b,108,1.26 Jupiters,6.03,2002
HD 216437 b,87,2.223 Jupiters,6.057,2002
HD 216520 b,64,10.26 Earths,7.52,2020
HD 216520 c,64,9.44 Earths,7.52,2020
HD 216536 b,1241,1.05 Jupiters,9.23,2015
HD 216770 b,120,0.57 Jupiters,8.094,2003
HD 21693 b,106,8.23 Earths,7.95,2019
HD 21693 c,106,17.37 Earths,7.95,2019
HD 217107 b,65,1.3 Jupiters,6.16,1998
HD 217107 c,65,2.6 Jupiters,6.16,2005
HD 21749 c,53,3.7 Earths,7.87,2019
HD 217786 b,179,13 Jupiters,7.8,2011
HD 219666 b,308,16.6 Earths,9.65,2018
HD 219828 b,239,20.97678 Earths,8.04,2007
HD 219828 c,239,14.6 Jupiters,8.04,2016
HD 220074 b,1068,16.64 Jupiters,6.4,2012
HD 220197 b,210,0.2 Jupiters,9,2018
HD 220689 b,153,1.118 Jupiters,7.795,2012
HD 220773 b,160,1.45 Jupiters,7.093,2011
HD 220842 b,204,3.18 Jupiters,7.99,2016
HD 221287 b,183,3.09 Jupiters,7.807,2007
HD 221416 b,310,0.19 Jupiters,8.146,2019
HD 219666 b,308,16.6 Earths,9.65,2018
HD 219828 b,239,20.97678 Earths,8.04,2007
HD 219828 c,239,14.6 Jupiters,8.04,2016
HD 220074 b,1068,16.64 Jupiters,6.4,2012
HD 220197 b,210,0.2 Jupiters,9,2018
HD 220689 b,153,1.118 Jupiters,7.795,2012
HD 220773 b,160,1.45 Jupiters,7.093,2011
HD 220842 b,204,3.18 Jupiters,7.99,2016
HD 221287 b,183,3.09 Jupiters,7.807,2007
HD 221416 b,310,0.19 Jupiters,8.146,2019
HD 221420 b,102,9.7 Jupiters,5.81,2019
